Date,Region,Product,Quantity,Unit_Price
2026-08-07,West,Monitor,6,199.99
2026-08-16,South,Laptop,4,999.99
2026-08-13,South,Mouse,9,25.5
2026-08-19,East,Mouse,14,25.5
2026-09-03,East,Monitor,6,199.99
2026-08-28,North,Laptop,15,999.99
2026-08-29,North,Monitor,14,199.99
2026-08-11,North,Headset,7,75.0
2026-08-16,South,Headset,7,75.0
2026-08-17,East,Laptop,8,999.99
2026-08-31,North,Headset,8,75.0
2026-08-15,South,Laptop,5,999.99
2026-09-05,East,Keyboard,11,45.0
2026-09-01,East,Laptop,5,999.99
2026-08-23,West,Headset,5,75.0
2026-09-01,North,Laptop,3,999.99
2026-08-31,East,Monitor,13,199.99
2026-08-27,North,Laptop,13,999.99
2026-08-13,East,Monitor,8,199.99
2026-09-02,South,Headset,9,75.0
2026-09-05,North,Mouse,4,25.5
2026-08-11,North,Laptop,7,999.99
2026-08-07,East,Headset,11,75.0
2026-08-20,North,Laptop,15,999.99
2026-08-18,East,Laptop,6,999.99
2026-08-27,North,Headset,12,75.0
2026-08-11,East,Monitor,4,199.99
2026-08-18,East,Headset,10,75.0
2026-08-30,North,Headset,8,75.0
2026-08-19,South,Headset,11,75.0
2026-08-23,East,Laptop,4,999.99
2026-08-30,East,Mouse,2,25.5
2026-09-01,East,Keyboard,3,45.0
2026-08-14,South,Headset,5,75.0
2026-09-05,East,Headset,12,75.0
2026-08-19,North,Monitor,5,199.99
2026-08-24,East,Keyboard,11,45.0
2026-09-06,West,Laptop,10,999.99
2026-08-18,West,Keyboard,2,45.0
2026-09-01,North,Headset,10,75.0
2026-08-29,South,Mouse,15,25.5
2026-08-07,East,Keyboard,12,45.0
2026-08-16,South,Laptop,5,999.99
2026-08-31,East,Mouse,15,25.5
2026-08-07,West,Headset,7,75.0
2026-08-25,South,Mouse,5,25.5
2026-09-04,South,Keyboard,10,45.0
2026-08-11,South,Keyboard,3,45.0
2026-08-31,East,Monitor,6,199.99
2026-08-07,South,Laptop,7,999.99
2026-08-19,West,Laptop,4,999.99
2026-08-20,North,Laptop,10,999.99
2026-08-24,East,Laptop,8,999.99
2026-08-16,South,Headset,11,75.0
2026-09-04,East,Mouse,7,25.5
2026-08-15,East,Mouse,2,25.5
2026-08-08,East,Headset,1,75.0
2026-08-23,North,Monitor,10,199.99
2026-08-09,North,Laptop,13,999.99
2026-08-23,South,Monitor,1,199.99
2026-08-31,East,Headset,12,75.0
2026-08-24,East,Monitor,13,199.99
2026-08-31,North,Headset,14,75.0
2026-08-18,West,Keyboard,12,45.0
2026-08-19,East,Keyboard,5,45.0
2026-08-15,North,Keyboard,12,45.0
2026-09-03,South,Keyboard,13,45.0
2026-08-07,South,Laptop,10,999.99
2026-09-05,North,Monitor,3,199.99
2026-08-20,East,Monitor,6,199.99
2026-09-01,North,Headset,9,75.0
2026-08-15,South,Laptop,5,999.99
2026-08-31,West,Headset,10,75.0
2026-09-02,North,Keyboard,7,45.0
2026-08-15,East,Monitor,7,199.99
2026-08-20,North,Laptop,11,999.99
2026-08-24,West,Monitor,9,199.99
2026-08-10,North,Keyboard,13,45.0
2026-09-02,East,Laptop,4,999.99
2026-08-12,South,Headset,8,75.0
2026-08-10,East,Keyboard,12,45.0
2026-08-18,West,Monitor,15,199.99
2026-08-12,South,Keyboard,5,45.0
2026-09-04,North,Laptop,10,999.99
2026-08-25,North,Monitor,12,199.99
2026-09-04,South,Laptop,3,999.99
2026-08-30,North,Monitor,3,199.99
2026-08-17,North,Headset,13,75.0
2026-08-20,North,Headset,13,75.0
2026-08-13,North,Mouse,14,25.5
2026-08-30,South,Headset,14,75.0
2026-08-23,North,Headset,6,75.0
2026-08-11,North,Laptop,14,999.99
2026-08-19,East,Keyboard,15,45.0
2026-09-02,South,Keyboard,15,45.0
2026-09-04,West,Headset,5,75.0
2026-08-07,West,Laptop,10,999.99
2026-08-14,West,Monitor,4,199.99
2026-08-14,West,Keyboard,7,45.0
2026-08-31,North,Laptop,3,999.99
2026-08-19,West,Monitor,8,199.99
2026-08-24,North,Mouse,14,25.5
2026-08-23,West,Keyboard,1,45.0
2026-08-25,South,Laptop,15,999.99
2026-09-04,West,Keyboard,3,45.0
2026-08-18,West,Headset,3,75.0
2026-09-04,East,Mouse,1,25.5
2026-08-26,West,Laptop,9,999.99
2026-08-29,East,Mouse,5,25.5
